
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 9.91e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 719 	Intervalo: 0.28 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.89e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 811 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.89e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 679 	Intervalo: 0.29 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.90e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 863 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.89e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 930 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.86e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 853 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.01e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 632 	Intervalo: 0.32 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.89e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 575 	Intervalo: 0.35 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.84e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 275 	Intervalo: 0.73 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 16	Tamanho do Problema: 2048000000

